Size	Insertion time (ns)	Query time (ns)	Largest bucket
20	16442	150	4
24	13786	121	4
28	18746	120	4
32	17072	121	4
40	14679	140	4
48	24948	170	4
56	36621	210	16
64	24948	231	4
80	34607	270	4
96	38624	321	4
112	36239	351	4
128	40969	401	4
160	59645	521	4
192	75315	661	4
224	60696	661	4
256	69533	742	4
320	105733	1093	4
384	123798	1523	4
448	218700	2184	16
512	178542	2003	4
640	209182	2665	4
768	248938	3277	16
896	280238	4389	4
1024	384027	5611	16
1280	417292	6983	4
1536	493809	8015	4
1792	572038	10581	4
2048	1245793	12794	16
2560	869991	15740	4
3072	1119270	18045	4
3584	1339833	21652	16
4096	1300828	22303	4
5120	3277956	48093	16
6144	2004249	44576	4
7168	2535139	56408	4
8192	3020451	64053	4
10240	3639440	258356	4
12288	4603080	221536	4
14336	4462661	210094	4
16384	5969015	504238	4
20480	8471551	806980	16
24576	11171426	1140060	4
28672	12687167	970765	4
32768	13270598	1141603	4
40960	18597088	1566438	4
49152	22880835	1926791	4
57344	27665206	2089794	4
65536	34326859	2526202	4
81920	42857664	2844363	4
98304	59312417	4113951	16
114688	51418706	3006404	4
131072	58363945	5020303	4
163840	90135677	6645575	4
196608	105070710	8017259	4
229376	140702619	10861972	4
262144	152144475	11702726	4
327680	226909110	16492756	4
393216	318071819	24813126	4
458752	296994578	20949927	4
524288	389515915	35852229	4
655360	527058983	31121974	16
786432	535765081	36027003	4
917504	530497400	45189111	4
1048576	626402872	47838130	4
1310720	786633951	53928897	4
1572864	981297652	76679105	4
1835008	1241581256	80763557	4
2097152	1332377557	94508236	4
2621440	1739887072	114051009	4
3145728	2371205406	129196819	16
3670016	3538503630	243507447	16
4194304	2771592569	195632446	16
